Date,Price,Extra,Distance,Class,Region
2023-01-01,135,23,1082,Y,Eur
2023-01-01,56,10,917,Y,Eur
2023-01-01,190,7,1630,Y,Eur
2023-01-01,107,24,818,Y,Eur
2023-01-01,53,7,922,Y,Eur
2023-01-01,113,5,1335,Y,Eur
2023-01-01,126,7,1412,Y,Eur
2023-01-01,73,6,1206,Y,Eur
2023-01-01,112,17,1294,Y,Eur
2023-01-01,122,2,1033,Y,Eur
2023-01-01,116,9,1015,Y,Eur
2023-01-01,178,28,1223,Y,Eur
2023-01-01,148,19,888,Y,Eur
2023-01-01,128,28,1383,Y,Eur
2023-01-01,139,30,1060,Y,Eur
2023-01-01,171,32,1270,Y,Eur
2023-01-01,58,3,970,Y,Eur
2023-01-01,128,21,1246,Y,Eur
2023-01-02,107,20,852,Y,Eur
2023-01-02,32,4,937,Y,Eur
2023-01-02,137,28,1346,Y,Eur
2023-01-02,75,12,887,Y,Eur
2023-01-02,144,16,892,Y,Eur
2023-01-02,172,0,1437,Y,Eur
2023-01-02,107,26,1265,Y,Eur
2023-01-02,101,6,1353,Y,Eur
2023-01-02,30,5,1196,Y,Eur
2023-01-02,134,23,1562,Y,Eur
2023-01-02,74,17,881,Y,Eur
2023-01-02,190,32,1431,Y,Eur
2023-01-02,112,20,857,Y,Eur
2023-01-02,157,14,1578,Y,Eur
2023-01-02,156,10,1255,Y,Eur
2023-01-02,180,9,1095,Y,Eur
2023-01-02,134,10,1042,Y,Eur
2023-01-02,156,19,1036,Y,Eur
2023-01-02,134,5,1250,Y,Eur
2023-01-02,164,30,1101,Y,Eur
2023-01-02,101,19,745,Y,Eur
2023-01-02,138,13,1443,Y,Eur
2023-01-02,100,17,1092,Y,Eur
2023-01-02,94,19,837,Y,Eur
2023-01-02,123,30,1039,Y,Eur
2023-01-02,143,30,1254,Y,Eur
2023-01-02,113,26,1250,Y,Eur
2023-01-02,250,48,1755,Y,Eur
2023-01-02,199,2,1799,Y,Eur
2023-01-02,94,16,709,Y,Eur
2023-01-02,158,18,1366,Y,Eur
2023-01-02,141,23,1175,Y,Eur
2023-01-02,107,0,1126,Y,Eur
2023-01-02,162,19,1539,Y,Eur
2023-01-02,39,7,856,Y,Eur
2023-01-02,30,6,1427,Y,Eur
2023-01-02,114,5,1121,Y,Eur
2023-01-02,167,28,1203,Y,Eur
2023-01-02,90,15,1207,Y,Eur
2023-01-02,123,7,1338,Y,Eur
2023-01-02,108,17,1011,Y,Eur
2023-01-02,185,12,1217,Y,Eur
2023-01-02,121,28,1547,Y,Eur
2023-01-02,95,12,1325,Y,Eur
2023-01-02,104,14,1331,Y,Eur
2023-01-02,53,7,1161,Y,Eur
2023-01-02,95,17,1289,Y,Eur
2023-01-02,151,25,1433,Y,Eur
2023-01-02,98,20,1237,Y,Eur
2023-01-02,140,18,1652,Y,Eur
2023-01-02,119,13,855,Y,Eur
2023-01-02,56,5,1004,Y,Eur
2023-01-02,60,1,1320,Y,Eur
2023-01-02,97,2,1160,Y,Eur
2023-01-02,150,11,1520,Y,Eur
2023-01-02,130,10,662,Y,Eur
2023-01-02,127,2,1452,Y,Eur
2023-01-02,118,10,1089,Y,Eur
2023-01-02,214,21,1351,Y,Eur
2023-01-02,118,1,1282,Y,Eur
2023-01-02,102,18,1285,Y,Eur
2023-01-02,30,5,1211,Y,Eur
2023-01-02,119,17,780,Y,Eur
2023-01-02,132,7,1406,Y,Eur
2023-01-02,169,9,1443,Y,Eur
2023-01-02,151,3,1192,Y,Eur
2023-01-02,157,17,1571,Y,Eur
2023-01-02,127,10,1437,Y,Eur
2023-01-02,132,28,1214,Y,Eur
2023-01-02,154,21,893,Y,Eur
2023-01-02,171,15,1355,Y,Eur
2023-01-02,111,25,1120,Y,Eur
2023-01-02,112,21,1209,Y,Eur
2023-01-02,127,23,1381,Y,Eur
2023-01-02,170,36,1284,Y,Eur
2023-01-02,85,5,1273,Y,Eur
2023-01-02,114,16,1084,Y,Eur
2023-01-02,30,6,725,Y,Eur
2023-01-02,110,24,1197,Y,Eur
2023-01-02,122,8,1202,Y,Eur
2023-01-02,180,9,1176,Y,Eur
2023-01-02,71,5,569,Y,Eur
2023-01-02,114,18,1105,Y,Eur
2023-01-02,99,11,1027,Y,Eur
2023-01-02,85,18,992,Y,Eur
2023-01-02,120,30,1333,Y,Eur
2023-01-02,142,5,860,Y,Eur
2023-01-02,62,10,1278,Y,Eur
2023-01-02,101,12,1185,Y,Eur
2023-01-02,138,27,1597,Y,Eur
2023-01-02,94,22,1016,Y,Eur
2023-01-02,166,25,1265,Y,Eur
2023-01-02,104,23,927,Y,Eur
2023-01-02,147,21,875,Y,Eur
2023-01-02,78,0,1165,Y,Eur
2023-01-02,118,11,1084,Y,Eur
2023-01-02,121,5,1019,Y,Eur
2023-01-02,87,7,1035,Y,Eur
2023-01-02,141,20,966,Y,Eur
2023-01-02,76,8,1446,Y,Eur
2023-01-02,85,13,1313,Y,Eur
2023-01-02,62,7,1037,Y,Eur
2023-01-02,151,32,1564,Y,Eur
2023-01-02,30,5,682,Y,Eur
2023-01-02,63,7,848,Y,Eur
2023-01-02,52,10,923,Y,Eur
2023-01-02,122,8,1276,Y,Eur
2023-01-02,133,27,1226,Y,Eur
2023-01-02,128,12,1371,Y,Eur
2023-01-02,147,28,1125,Y,Eur
2023-01-02,80,14,1165,Y,Eur
2023-01-02,163,34,1572,Y,Eur
2023-01-02,97,14,980,Y,Eur
2023-01-02,143,27,800,Y,Eur
2023-01-02,117,3,1373,Y,Eur
2023-01-02,74,12,749,Y,Eur
2023-01-02,196,46,1336,Y,Eur
2023-01-02,86,19,1092,Y,Eur
2023-01-02,82,8,1201,Y,Eur
2023-01-02,176,24,1526,Y,Eur
2023-01-02,154,23,1313,Y,Eur
2023-01-02,146,21,1451,Y,Eur
2023-01-02,92,3,1302,Y,Eur
2023-01-02,30,6,774,Y,Eur
2023-01-02,82,15,837,Y,Eur
2023-01-02,102,18,944,Y,Eur
2023-01-02,121,5,1333,Y,Eur
2023-01-02,97,1,1130,Y,Eur
2023-01-02,101,7,1224,Y,Eur
2023-01-03,124,15,961,Y,Eur
2023-01-03,141,33,1109,Y,Eur
2023-01-03,170,12,996,Y,Eur
2023-01-03,88,21,1043,Y,Eur
2023-01-03,71,8,1192,Y,Eur
2023-01-03,49,6,793,Y,Eur
2023-01-03,142,12,1036,Y,Eur
2023-01-03,181,35,1355,Y,Eur
2023-01-03,30,5,980,Y,Eur
2023-01-03,123,16,1175,Y,Eur
2023-01-03,122,8,592,Y,Eur
2023-01-03,72,12,1159,Y,Eur
2023-01-03,157,0,1493,Y,Eur
2023-01-03,103,22,1015,Y,Eur
2023-01-03,68,4,848,Y,Eur
2023-01-03,163,30,1442,Y,Eur
2023-01-03,107,4,1435,Y,Eur
2023-01-03,80,16,1165,Y,Eur
2023-01-03,90,6,857,Y,Eur
2023-01-03,52,5,853,Y,Eur
2023-01-03,96,21,913,Y,Eur
2023-01-03,31,4,902,Y,Eur
2023-01-03,63,6,1233,Y,Eur
2023-01-03,40,0,1039,Y,Eur
2023-01-03,57,9,1231,Y,Eur
2023-01-03,30,5,1037,Y,Eur
2023-01-03,155,17,1326,Y,Eur
2023-01-03,127,0,1084,Y,Eur
2023-01-03,106,12,784,Y,Eur
2023-01-03,141,21,1400,Y,Eur
2023-01-03,52,6,827,Y,Eur
2023-01-03,134,2,1276,Y,Eur
2023-01-03,135,8,820,Y,Eur
2023-01-03,84,10,920,Y,Eur
2023-01-03,85,12,944,Y,Eur
2023-01-03,55,13,1126,Y,Eur
2023-01-03,177,17,1038,Y,Eur
2023-01-03,127,0,1209,Y,Eur
2023-01-03,46,4,1098,Y,Eur
2023-01-03,30,7,824,Y,Eur
2023-01-03,30,4,919,Y,Eur
2023-01-03,101,14,875,Y,Eur
2023-01-03,190,21,1187,Y,Eur
2023-01-03,114,4,1241,Y,Eur
2023-01-03,138,25,1003,Y,Eur
2023-01-03,153,37,1448,Y,Eur
2023-01-03,174,5,1542,Y,Eur
2023-01-03,91,7,1194,Y,Eur
2023-01-03,31,5,738,Y,Eur
2023-01-03,141,17,1464,Y,Eur
2023-01-03,56,5,1108,Y,Eur
2023-01-03,151,1,1172,Y,Eur
2023-01-03,178,39,952,Y,Eur
2023-01-03,53,12,1165,Y,Eur
2023-01-03,30,3,950,Y,Eur
2023-01-03,74,17,1237,Y,Eur
2023-01-03,183,1,1269,Y,Eur
2023-01-03,137,15,1162,Y,Eur
2023-01-03,103,24,1092,Y,Eur
2023-01-03,163,16,1277,Y,Eur
2023-01-03,65,2,1122,Y,Eur
2023-01-03,135,2,1476,Y,Eur
2023-01-03,58,7,1032,Y,Eur
2023-01-03,95,2,1107,Y,Eur
2023-01-03,140,18,1274,Y,Eur
2023-01-03,112,1,1010,Y,Eur
2023-01-03,80,6,1328,Y,Eur
2023-01-03,181,33,1421,Y,Eur
2023-01-03,133,23,946,Y,Eur
2023-01-03,154,23,1461,Y,Eur
2023-01-03,105,26,859,Y,Eur
2023-01-03,30,1,1100,Y,Eur
2023-01-03,101,16,992,Y,Eur
2023-01-03,115,19,1398,Y,Eur
2023-01-03,30,1,722,Y,Eur
2023-01-03,125,25,1138,Y,Eur
2023-01-03,76,1,1158,Y,Eur
2023-01-03,144,34,1572,Y,Eur
2023-01-03,53,0,993,Y,Eur
2023-01-03,86,12,899,Y,Eur
2023-01-03,103,24,1178,Y,Eur
2023-01-03,50,6,1001,Y,Eur
2023-01-03,91,20,1308,Y,Eur
2023-01-03,104,6,1133,Y,Eur
2023-01-03,121,5,1019,Y,Eur
2023-01-03,30,2,723,Y,Eur
2023-01-03,168,3,1349,Y,Eur
2023-01-03,120,5,1318,Y,Eur
2023-01-03,102,2,1120,Y,Eur
2023-01-03,80,7,604,Y,Eur
2023-01-03,125,16,953,Y,Eur
2023-01-03,47,5,576,Y,Eur
2023-01-03,151,28,1458,Y,Eur
2023-01-03,111,10,846,Y,Eur
2023-01-03,54,3,1067,Y,Eur
2023-01-03,125,30,1399,Y,Eur
2023-01-03,40,4,1056,Y,Eur
2023-01-03,139,8,1168,Y,Eur
2023-01-03,128,18,1013,Y,Eur
2023-01-03,118,15,1175,Y,Eur
2023-01-04,124,9,1222,Y,Eur
2023-01-04,68,1,1083,Y,Eur
2023-01-04,83,0,1143,Y,Eur
2023-01-04,153,32,1095,Y,Eur
2023-01-04,32,4,952,Y,Eur
2023-01-04,108,11,1195,Y,Eur
2023-01-04,160,4,1046,Y,Eur
2023-01-04,74,9,1056,Y,Eur
2023-01-04,135,24,1430,Y,Eur
2023-01-04,54,1,945,Y,Eur
2023-01-04,40,4,943,Y,Eur
2023-01-04,84,8,1189,Y,Eur
2023-01-04,108,9,1091,Y,Eur
2023-01-04,38,7,874,Y,Eur
2023-01-04,79,4,811,Y,Eur
2023-01-04,180,36,1401,Y,Eur
2023-01-04,103,17,1087,Y,Eur
2023-01-04,60,10,1123,Y,Eur
2023-01-04,88,12,631,Y,Eur
2023-01-04,31,4,981,Y,Eur
2023-01-04,100,18,925,Y,Eur
2023-01-04,199,48,1413,Y,Eur
2023-01-04,89,14,754,Y,Eur
2023-01-04,30,0,1111,Y,Eur
2023-01-04,96,11,1085,Y,Eur
2023-01-04,41,0,816,Y,Eur
2023-01-04,51,12,820,Y,Eur
2023-01-04,73,9,1135,Y,Eur
2023-01-04,129,23,1001,Y,Eur
2023-01-04,61,2,1261,Y,Eur
2023-01-04,100,22,854,Y,Eur
2023-01-04,44,2,706,Y,Eur
2023-01-04,133,25,878,Y,Eur
2023-01-04,169,30,1183,Y,Eur
2023-01-04,112,21,1147,Y,Eur
2023-01-04,87,10,1437,Y,Eur
2023-01-04,107,15,1228,Y,Eur
2023-01-04,106,11,1109,Y,Eur
2023-01-04,146,24,1536,Y,Eur
2023-01-04,86,14,1065,Y,Eur
2023-01-04,44,0,1016,Y,Eur
2023-01-04,30,4,881,Y,Eur
2023-01-04,126,28,923,Y,Eur
2023-01-04,79,11,952,Y,Eur
2023-01-04,30,1,862,Y,Eur
2023-01-04,30,4,431,Y,Eur
2023-01-04,142,29,1294,Y,Eur
2023-01-04,46,0,643,Y,Eur
2023-01-04,111,0,931,Y,Eur
2023-01-04,92,19,1183,Y,Eur
2023-01-04,69,10,1208,Y,Eur
2023-01-04,30,1,543,Y,Eur
2023-01-04,157,35,1264,Y,Eur
2023-01-04,96,16,1135,Y,Eur
2023-01-04,131,1,1019,Y,Eur
2023-01-04,100,10,1372,Y,Eur
2023-01-04,135,0,884,Y,Eur
2023-01-04,137,30,1310,Y,Eur
2023-01-04,45,3,915,Y,Eur
2023-01-04,113,15,1307,Y,Eur
2023-01-04,30,6,583,Y,Eur
2023-01-04,161,12,1527,Y,Eur
2023-01-04,123,19,1384,Y,Eur
2023-01-04,30,4,576,Y,Eur
2023-01-04,51,10,763,Y,Eur
2023-01-04,139,13,1305,Y,Eur
2023-01-04,38,3,1476,Y,Eur
2023-01-04,82,13,723,Y,Eur
2023-01-04,115,21,1481,Y,Eur
2023-01-04,83,4,1274,Y,Eur
2023-01-04,39,5,1028,Y,Eur
2023-01-04,103,12,1158,Y,Eur
2023-01-04,105,25,1203,Y,Eur
2023-01-04,124,2,1242,Y,Eur
2023-01-04,65,9,1353,Y,Eur
2023-01-04,30,6,1143,Y,Eur
2023-01-04,132,7,913,Y,Eur
2023-01-04,84,16,1105,Y,Eur
2023-01-04,118,7,1453,Y,Eur
2023-01-04,30,1,1072,Y,Eur
2023-01-04,102,21,1365,Y,Eur
2023-01-04,79,5,1011,Y,Eur
2023-01-04,76,3,934,Y,Eur
2023-01-04,139,9,1276,Y,Eur
2023-01-04,36,8,1039,Y,Eur
2023-01-04,63,6,1151,Y,Eur
2023-01-04,110,9,1185,Y,Eur
2023-01-04,146,28,1144,Y,Eur
2023-01-04,102,7,1185,Y,Eur
2023-01-04,36,0,861,Y,Eur
2023-01-04,42,9,933,Y,Eur
2023-01-04,65,15,1102,Y,Eur
2023-01-04,47,10,911,Y,Eur
2023-01-04,45,2,1261,Y,Eur
2023-01-04,140,11,1226,Y,Eur
2023-01-04,96,5,1153,Y,Eur
2023-01-04,47,3,1134,Y,Eur
2023-01-05,107,13,1213,Y,Eur
2023-01-05,176,36,752,Y,Eur
2023-01-05,86,2,894,Y,Eur
2023-01-05,178,30,1369,Y,Eur
2023-01-05,51,2,852,Y,Eur
2023-01-05,168,26,1340,Y,Eur
2023-01-05,44,9,1171,Y,Eur
2023-01-05,78,17,1418,Y,Eur
2023-01-05,30,5,1107,Y,Eur
2023-01-05,45,4,888,Y,Eur
2023-01-05,108,12,1195,Y,Eur
2023-01-05,70,9,1139,Y,Eur
2023-01-05,84,2,1115,Y,Eur
2023-01-05,45,9,1105,Y,Eur
2023-01-05,123,23,1284,Y,Eur
2023-01-05,50,10,835,Y,Eur
2023-01-05,58,12,1074,Y,Eur
2023-01-05,104,17,1147,Y,Eur
2023-01-05,102,25,868,Y,Eur
2023-01-05,185,46,1564,Y,Eur
2023-01-05,92,5,562,Y,Eur
2023-01-05,177,0,1346,Y,Eur
2023-01-05,102,12,1001,Y,Eur
2023-01-05,124,30,1307,Y,Eur
2023-01-05,105,24,1158,Y,Eur
2023-01-05,126,14,904,Y,Eur
2023-01-05,62,4,979,Y,Eur
2023-01-05,30,5,892,Y,Eur
2023-01-05,148,13,1060,Y,Eur
2023-01-05,126,0,1381,Y,Eur
2023-01-05,111,1,1423,Y,Eur
2023-01-05,94,16,978,Y,Eur
2023-01-05,30,5,750,Y,Eur
2023-01-05,158,27,1228,Y,Eur
2023-01-05,30,7,1347,Y,Eur
2023-01-05,131,8,1370,Y,Eur
2023-01-05,80,16,913,Y,Eur
2023-01-05,46,0,714,Y,Eur
2023-01-05,153,36,991,Y,Eur
2023-01-05,100,23,1137,Y,Eur
2023-01-05,96,8,1091,Y,Eur
2023-01-05,30,5,881,Y,Eur
2023-01-05,156,14,1366,Y,Eur
2023-01-05,113,13,1149,Y,Eur
2023-01-05,108,7,1324,Y,Eur
2023-01-05,42,5,700,Y,Eur
2023-01-05,81,9,787,Y,Eur
2023-01-05,128,22,1051,Y,Eur
2023-01-05,94,6,955,Y,Eur
2023-01-05,114,10,1029,Y,Eur
2023-01-05,30,2,1291,Y,Eur
2023-01-05,181,0,1497,Y,Eur
2023-01-05,127,20,1170,Y,Eur
2023-01-05,105,6,1323,Y,Eur
2023-01-05,72,2,1275,Y,Eur
2023-01-05,77,8,1126,Y,Eur
2023-01-05,98,14,1412,Y,Eur
2023-01-05,30,2,879,Y,Eur
2023-01-05,104,12,1146,Y,Eur
2023-01-05,94,7,1391,Y,Eur
2023-01-05,63,3,1181,Y,Eur
2023-01-05,80,11,954,Y,Eur
2023-01-05,38,1,1122,Y,Eur
2023-01-05,71,5,1199,Y,Eur
2023-01-05,179,18,1264,Y,Eur
2023-01-05,111,7,1138,Y,Eur
2023-01-05,117,16,910,Y,Eur
2023-01-05,248,19,1556,Y,Eur
2023-01-05,79,14,1107,Y,Eur
2023-01-05,113,11,1096,Y,Eur
2023-01-05,64,16,957,Y,Eur
2023-01-05,127,27,1081,Y,Eur
2023-01-05,64,12,1333,Y,Eur
2023-01-05,121,1,1235,Y,Eur
2023-01-05,30,4,814,Y,Eur
2023-01-05,67,5,1237,Y,Eur
2023-01-05,99,20,1059,Y,Eur
2023-01-05,89,14,1152,Y,Eur
2023-01-05,56,3,1208,Y,Eur
2023-01-05,30,4,937,Y,Eur
2023-01-05,100,11,1108,Y,Eur
2023-01-05,103,22,946,Y,Eur
2023-01-05,106,4,1099,Y,Eur
2023-01-05,63,14,945,Y,Eur
2023-01-05,183,40,1159,Y,Eur
2023-01-05,80,11,830,Y,Eur
2023-01-05,179,20,966,Y,Eur
2023-01-05,53,9,955,Y,Eur
2023-01-05,107,11,1378,Y,Eur
2023-01-05,77,0,942,Y,Eur
2023-01-05,57,0,765,Y,Eur
2023-01-05,85,6,1115,Y,Eur
2023-01-05,92,0,943,Y,Eur
2023-01-05,83,1,908,Y,Eur
2023-01-05,92,14,942,Y,Eur
2023-01-05,140,34,1526,Y,Eur
2023-01-05,65,3,1185,Y,Eur
2023-01-05,140,27,1208,Y,Eur
2023-01-05,79,1,910,Y,Eur
2023-01-05,78,9,1310,Y,Eur
2023-01-05,174,38,1535,Y,Eur
2023-01-05,103,3,1088,Y,Eur
2023-01-05,30,2,596,Y,Eur
2023-01-05,30,0,897,Y,Eur
2023-01-05,64,5,847,Y,Eur
2023-01-05,108,8,1241,Y,Eur
2023-01-05,73,17,1223,Y,Eur
2023-01-05,146,7,1109,Y,Eur
2023-01-05,68,14,1283,Y,Eur
2023-01-06,81,3,1393,Y,Eur
2023-01-06,83,2,1103,Y,Eur
2023-01-06,121,19,948,Y,Eur
2023-01-06,157,37,955,Y,Eur
2023-01-06,101,5,861,Y,Eur
2023-01-06,115,1,852,Y,Eur
2023-01-06,121,29,1516,Y,Eur
2023-01-06,114,13,1078,Y,Eur
2023-01-06,146,14,1437,Y,Eur
2023-01-06,90,12,1026,Y,Eur
2023-01-06,58,8,1186,Y,Eur
2023-01-06,129,25,1534,Y,Eur
2023-01-06,159,34,831,Y,Eur
2023-01-06,119,2,1120,Y,Eur
2023-01-06,168,30,1647,Y,Eur
2023-01-06,92,1,1227,Y,Eur
2023-01-06,79,11,1485,Y,Eur
2023-01-06,146,2,1190,Y,Eur
2023-01-06,119,13,1262,Y,Eur
2023-01-06,196,44,1188,Y,Eur
2023-01-06,57,12,1297,Y,Eur
2023-01-06,64,14,640,Y,Eur
2023-01-06,124,16,1246,Y,Eur
2023-01-06,170,20,844,Y,Eur
2023-01-06,100,19,794,Y,Eur
2023-01-06,44,10,1058,Y,Eur
2023-01-06,69,8,843,Y,Eur
2023-01-06,135,7,1333,Y,Eur
2023-01-06,97,3,1115,Y,Eur
2023-01-06,62,8,1347,Y,Eur
2023-01-06,183,20,1143,Y,Eur
2023-01-06,156,17,1359,Y,Eur
2023-01-06,79,13,958,Y,Eur
2023-01-06,90,12,1424,Y,Eur
2023-01-06,63,1,1002,Y,Eur
2023-01-06,158,33,1032,Y,Eur
2023-01-06,107,18,1526,Y,Eur
2023-01-06,147,20,1274,Y,Eur
2023-01-06,178,25,1024,Y,Eur
2023-01-06,67,3,1229,Y,Eur
2023-01-06,92,15,1030,Y,Eur
2023-01-06,203,16,1250,Y,Eur
2023-01-06,64,3,1347,Y,Eur
2023-01-06,72,5,898,Y,Eur
2023-01-06,125,30,1792,Y,Eur
2023-01-06,96,0,1137,Y,Eur
2023-01-06,193,42,1402,Y,Eur
2023-01-06,90,8,1126,Y,Eur
2023-01-06,187,7,1514,Y,Eur
2023-01-06,82,20,1124,Y,Eur
2023-01-06,115,10,1450,Y,Eur
2023-01-06,63,14,1224,Y,Eur
2023-01-06,134,18,1149,Y,Eur
2023-01-06,134,2,1099,Y,Eur
2023-01-06,63,1,970,Y,Eur
2023-01-06,96,5,1402,Y,Eur
2023-01-06,140,19,936,Y,Eur
2023-01-06,39,7,1051,Y,Eur
2023-01-06,96,21,1025,Y,Eur
2023-01-06,92,16,767,Y,Eur
2023-01-06,41,0,991,Y,Eur
2023-01-06,74,12,1315,Y,Eur
2023-01-06,85,19,1296,Y,Eur
2023-01-06,162,29,1191,Y,Eur
2023-01-06,193,37,1158,Y,Eur
2023-01-06,131,29,1601,Y,Eur
2023-01-06,137,28,1204,Y,Eur
2023-01-06,72,4,833,Y,Eur
2023-01-06,142,3,1143,Y,Eur
2023-01-06,119,1,662,Y,Eur
2023-01-06,103,1,909,Y,Eur
2023-01-06,157,38,1034,Y,Eur
2023-01-06,135,33,1157,Y,Eur
2023-01-06,30,3,692,Y,Eur
2023-01-06,66,1,514,Y,Eur
2023-01-06,44,1,917,Y,Eur
2023-01-06,30,6,959,Y,Eur
2023-01-06,102,13,1362,Y,Eur
2023-01-06,83,1,1221,Y,Eur
2023-01-06,39,0,881,Y,Eur
2023-01-06,120,28,1285,Y,Eur
2023-01-06,172,9,1031,Y,Eur
2023-01-06,112,9,1464,Y,Eur
2023-01-06,89,6,1086,Y,Eur
2023-01-06,33,8,1184,Y,Eur
2023-01-06,142,2,1160,Y,Eur
2023-01-06,57,4,893,Y,Eur
2023-01-06,57,13,1002,Y,Eur
2023-01-06,82,12,1242,Y,Eur
2023-01-06,140,19,1277,Y,Eur
2023-01-06,30,5,714,Y,Eur
2023-01-06,86,7,1133,Y,Eur
2023-01-06,108,11,1067,Y,Eur
2023-01-06,74,16,826,Y,Eur
2023-01-06,125,27,1420,Y,Eur
2023-01-06,76,4,919,Y,Eur
2023-01-06,116,2,1192,Y,Eur
2023-01-06,116,10,1128,Y,Eur
2023-01-06,100,5,1090,Y,Eur
2023-01-06,91,21,747,Y,Eur
